Name,Reviewed?,Type of Food,Meals Served,Expected Price,Menu Highlights,Service Quality,Considerations,Extra Info,Website,Eco Friendly?,Rating,Address,Latitude,Longitude,Timestamp,Metropolitan Area,Have you eaten here?,Excitement to Try?
Coast Cafe,Reviewed,Comfort Food,Dinner,$10-$20,"The fried chicken competes with the best in the country. It's cooked fresh, so it takes a while, but everything you order will be truly good, homestyle comfort food.","Food takes a while, but that's because it's a small kitchen and cooked upon order. ",,Try to eat nearby because it's much better when it's hot and fresh from cooking.,http://www.coastsoulcafe.com/,,9,233 River Street. Cambridge,42.3630358,-71.1116267,,Boston,,
Cattlemen's,Reviewed,Steakhouse,"Dinner, Breakfast, Lunch",$15-$30,,,,,,Good for eat-in (No excessive trash),9,"1309 S Agnew Ave, Oklahoma City, OK 73108, USA",35.4523822,-97.5548741,,OKC,,
Arsicault,Reviewed,Bakery,"Breakfast, Specialty",$0-$10,The scones are just slightly more scone than croissant; do the savory scone if you aren't sure what you want. The croissants are extremely light and crisp.,"They go through a long line pretty fast, so don't be deterred by a bit of a line.",,,https://arsicault-bakery.com/home,,9,"397 Arguello Blvd, San Francisco, CA 94118",37.7834259,-122.4593062,5/28/21 13:05,Bay Area,,
Ditto,Reviewed,American,"Breakfast, Lunch, Dinner",$07-$15,"The Bea is a great choice, but it's hard to go wrong with their breakfast sandwiches",,Good vegan options,,http://dittovegan.com/,,9,"1027 NE Alberta St
Portland, OR 97211",45.5593996,-122.6548488,6/7/21 15:55,Portland,,
Kati,Reviewed,Thai,"Lunch, Dinner",$10-$20,Kee Mao had a unique flavor that sets it apart as worth getting,,Good vegetarian options,Thai spicy was eye-wateringly good,http://www.katiportland.com/,,9,"2932 SE Division St
Portland, OR 97202",45.5046004,-122.6350057,6/7/21 16:09,Portland,,
Springer's Homemade Ice Cream,Reviewed,Frozen Dessert,Dessert,$0-$10,Springer Chip (Coffee w/ chocolate shavings) and Prohibition Tradition are both worth trying if nothing jumps out at you.,"If you aren't doing table service and don't want to wait in line, ordering online is a lot easier.",,,https://springersstoneharbor.com/,,9,"9420 3rd Ave, Stone Harbor, NJ 08247",39.0553121,-74.7596976,8/2/21 18:21,N/A,,
Piattini Wine Cafe,Reviewed,Cafe,"Lunch, Dinner",$15-$30,"North End quality Italian food, but in a lower key setting on Newbury.","Easy to make reservations- they'll try to find any gap they can fit you into, but in a good way. Service is always good.",,"A go-to for a nicer, but not overly nice dinner.",http://piattini.com/,Good for eat-in (No excessive trash),9,"226 Newbury Street Boston, MA. 02116",42.3496958,-71.081231,,Boston,,
Deluxe Town Diner,Reviewed,Diner,"Breakfast, Lunch",$07-$15,"Get pancakes! Start with the buttermilk flapjacks, then the second time you visit, try the sweet potato pancakes or blue cornmeal pancakes. The apple french toast is also delicious, but their hash, omlettes, and oatmeal also are breakfast staples done well without making a big deal. ","They're very efficient when there's a wait, but the actual table service really depends on the server you have. Some are very attentive and others occasionally need flagging down.",,"There will be a wait- rain or shine- on the weekends around brunch time. Upwards of 30 minutes to an hour. The service is hit-and-miss, but the pancakes and overall quality is consistently worth returning for.",http://www.deluxedinerbrands.com/deluxe-town-diner,Good for eat-in (No excessive trash),9,"627 Mt Auburn St, Watertown, MA 02472",42.3709735,-71.1580108,,Boston,,
Ted's,Reviewed,Mexican,"Dinner, Lunch",$10-$20,"The Tex-Mex is good, but the doughy (but not in an undercooked way) flour tortillas make Ted's a must-visit. The chips, salsa, and queso set a standard that every other restaurant in town is compared to.",Among the best in the country. They refill drinks and chips before you think to ask and do a great job of keeping up with the table.,,"This is one of their newer locations. It gets decently busy at dinner time, but the tables aren't all crowded together like some of their locations. You'll leave needing a nap, but it's well worth stopping in after a long day.",https://tedscafe.com/,,9,"15124 Lleytons Ct #118, Edmond, OK 73013",35.6246985,-97.5512131,,OKC,,
Ted's,Reviewed,Mexican,"Dinner, Lunch",$10-$20,"The Tex-Mex is good, but the doughy (but not in an undercooked way) flour tortillas make Ted's a must-visit. The chips, salsa, and queso set a standard that every other restaurant in town is compared to.",Among the best in the country. They refill drinks and chips before you think to ask and do a great job of keeping up with the table.,,"It gets pretty busy at lunch and dinner, so be prepared for a wait. You'll leave needing a nap, but it's well worth stopping in after a long day.",https://tedscafe.com/,,9,"801 E Danforth Rd, Edmond, OK 73034",35.6678203,-97.4687021,,OKC,,
Sightglass Coffee,Reviewed,Coffee Shop,Coffee ,$0-$10,"A good cup of coffee, but just as much paying for the atmosphere",,,Warehouse atmosphere with plenty of space to work/ hang out and great coffee,https://sightglasscoffee.com/,,8,"270 7th St, San Francisco, CA 94103",37.776869,-122.4086321,,Bay Area,,
Braum's,Reviewed,"Burgers, Frozen Dessert, Fast Food, Dessert","Dessert, Lunch, Dinner, Breakfast",$0-$10,"Go for the frozen yogurt, chocolate malt, or ice cream. Honestly even just a cup (or gallon) of milk. The regular food is generally meh",Fast food- it varies with the staff.,,Their market section is a great place to pick up quick groceries on the way home if you need basic ingredients or milk and ice cream. This was the first drive through I ever drove (during driver's ed).,https://www.braums.com/,TRASHY for eat-in (eat in uses single-use containers),8,"3101 E Memorial Rd, Edmond, OK 73013",35.6095202,-97.4588004,,OKC,,
Jimmy's Egg,Reviewed,Diner,"Breakfast, Lunch ",$10-$20,"Breakfast staples done consistently well. Whether you want chicken fried steak, an omlette, or sweet potato pancakes, it's hard to go wrong. Don't expect any wild flavors, but there's a bit of comfort to knowing exactly what you're going to get and knowing it'll be good.","Usually seat yourself, but almost always fast service with frequent coffee and water refills.",,,https://www.jimmysegg.com/,Good for eat-in (No excessive trash),8,"13837 N May Ave, Oklahoma City, OK 73134",35.611433,-97.567949,,OKC,,
Rosebud American Kitchen & Bar,Reviewed,American,Dinner,,"Delicious meal and pie. More along the comfort food lines, but with a bunch of tasty, filling dishes.",,,"Very busy on weekend evenings, but a bit better during the week.",http://rosebudkitchen.com/,Good for eat-in (No excessive trash),8,"381 Summer St. Somerville, MA 02144",42.3944411,-71.1207833,,Boston,,
Puritan & Company,Reviewed,Brunch,"Lunch, Dinner, Brunch",,,,,,http://www.puritancambridge.com/,Good for eat-in (No excessive trash),8,"1166 Cambridge St. Cambridge, MA 02139",42.3729571,-71.0968295,,Boston,,
Bova's Bakery,Reviewed,"Dessert, Bakery",Dessert,$0-$10,The breads are Italian style and perfect for complementing home-made pasta in your own kitchen. The desserts range much more than the other bakeries in the North End. ,,,"They also have a deli meat & chees counter, so a decent place to go if you need cold cuts or an appetizer if you're hosting people (or just yourself).",http://bovabakeryboston.com/,,8,"134 Salem Street, Boston, MA 02113",42.3652047,-71.055605,,Boston,,
Wheelhouse,Reviewed,Burgers,"Lunch, Breakfast",$10-$20,Coffee burger and Mushroom burger are quite good and enough to fill a meal easily,Counter service,,,http://www.wheelhouseboston.com/home.html,TRASHY for eat-in (eat in uses single-use containers),8,"63 Broad Street. Boston, MA 02109",42.3577371,-71.0539786,,Boston,,
Mariano’s Mexican Cuisine,Reviewed,Mexican,"Dinner, Lunch",,,,,,https://www.laharanch.com/about-us/,,8,"6300 Skillman St J, Dallas, TX 75231",32.8633936,-96.7460957,,DFW,,
Chcken Shack,Reviewed,"Fast Food, Comfort Food","Lunch, Dinner",$07-$15,,,,,www.chickenshack.com,,8,"4040 E Eleven Mile Rd, Warren, MI 48091",42.4905521,-83.0664648,,Detroit,,
Toast,Reviewed,American,"Brunch, Lunch",$15-$30,,,,,http://www.toastbirmingham.com/,Good for eat-in (No excessive trash),8,"203 Pierce St, Birmingham, MI 48009",42.546136,-83.2146853,,Detroit,,
Smoke Street,Reviewed,BBQ,"Lunch, Dinner",$10-$20,"Mixture of sauces to choose from with very good, plentiful food. The cornbread and brisket are a good go-to.",,,Prices are decent for a sit-down BBQ restaurant.,http://www.smokestreetmilford.com/,Good for eat-in (No excessive trash),8,"424 N. Main Street, Milford, MI 48381",42.5913103,-83.6000004,,Detroit,,
Milktooth,Reviewed,Cafe,"Brunch, Breakfast",$15-$30,"Higher quality coffee brewed well. The portions are on the smaller side, but flavors on the better side. A lot of their dishes are unusual combinations, so pick somewhere else if you aren't in the mood to try something new.",,Outdoor Dining Available,"Sometimes there's no wait and other times there is. They serve brunch food while open and close at 3, so plan accordingly.",http://www.milktoothindy.com/,Good for eat-in (No excessive trash),8,"534 Virginia Avenue Indianapolis, IN 46203",39.7591061,-86.1464246,,Indianapolis,,
Yakimono,Reviewed,Japanese,"Dinner, Lunch",$10-$20,,,,,www.yakimonookc.com,Good for eat-in (No excessive trash),8,"3131 W Memorial Rd # C, Oklahoma City, OK 73134",35.6103463,-97.5735213,,OKC,,
Cafe 7,Reviewed,Cafe,"Lunch, Dinner",$07-$15,"The daily specials are often delicious, but they have build-your-own pasta, pizza, and salads, which give enough options to satisfy everyone in the group.",Counter service,Outdoor Dining Available,They have drinks available for evenings if you'd like a quieter place to meet over drinks.,http://cafe7okc.com/,Good for eat-in (No excessive trash),8,"14101 N. May Ave, STE 117 Oklahoma City, OK 73134",35.6144312,-97.5679325,,OKC,,
Cheever's Cafe,Reviewed,American,"Dinner, Lunch",,,,,,http://cheeverscafe.com/,Good for eat-in (No excessive trash),8,"2409 N. Hudson, Oklahoma City 73103",35.4936982,-97.5191824,,OKC,,
Sunnyside Diner,Reviewed,Diner,"Breakfast, Lunch",$10-$20,Delicious tamale breakfast. Only downside was meh coffee,Friendly and good about refills and checking on table,Outdoor Dining Available,Diner atmosphere in OKC,http://www.eatatsunnyside.com/#top,Good for eat-in (No excessive trash),8,"916 NW 6th St, Oklahoma City, OK 73106",35.473971,-97.5282469,,OKC,,
The Baked Bear,Reviewed,Dessert,Dessert,$0-$10,Bear bowl is well worth the money,,,,http://www.thebakedbear.com/,,8,"2824 Jones Street
San Francisco, CA 94133",37.8073978,-122.4171608,,Bay Area,,
Plymouth Coffee Bean,Reviewed,Coffee Shop,Coffee,$0-$10,"They have an unlimited drip coffee deal with decent coffee. A lot of the items are wholesale quality, but the cookies and baked goods right by the register are usually nicer and more worth getting.",Friendly- among the more hipster places in the Detroit suburbs.,Outdoor Dining Available,"Their patio is fantastic in the summer to get work done or chat with friends. The inside is nice too, but noisie than outside (though still a reasonable volume).",https://www.plymouthcoffeebean.com/,,8,"884 Penniman Ave, Plymouth, MI 48170",42.3719457,-83.4702316,,Detroit,,
Rabia's,Reviewed,"Italian, Seafood",Dinner,,"The power up pasta breaks your wallet and waistline, but is quite worth it.",,,One of the best places to go in the North End if you want seafood in Boston,,Good for eat-in (No excessive trash),8,"73 Salem St, Boston, MA 02113, USA",42.3634281,-71.0557892,,Boston,,
Atlantic Fish Company,Reviewed,Seafood,"Dinner, Lunch",$25-$50,,,,,,Good for eat-in (No excessive trash),8,"761 Boylston St, Boston, MA 02116",42.3492534,-71.0811514,,Boston,,
Massimino's Cucina Italiana,Reviewed,Italian,"Dinner, Lunch",$25-$50,They usually have a giant list of specials that have historically been a good choice.,Friendly service that fits with the North End,,"Not the largest, but a good place to go with a group that's on the edge of the North End without the North End commotion.",,Good for eat-in (No excessive trash),8,"207 Endicott St, Boston, MA 02113",42.3665876,-71.0579365,,Boston,,
Ognisko,Reviewed,Polish,"Dinner, Lunch",$20-$40,Everything had good flavor,,,"A good stop if you're in the area, but there also was a mouse that ran across the floor while we were there, so caution if that's a turn-off ",http://www.ogniskorestaurant.co.uk/menus/a-la-carte-menu/,,8,"55 Exhibition Rd, Knightsbridge
London SW7 2PN, UK",51.4990328,-0.1740622,,London,,
Wayne's Coffee,Reviewed,Coffee Shop,Coffee,$0-$10,Dirty Chai had a bit of spice and wasn't too sweet. Would order it again,,,,https://www.waynescoffee.co.uk/menu/,,8,"225 Kensington High St, Kensington, London W8 6SA",51.4992791,-0.1973593,,London,,
Rosa's Thai Cafe Victoria,Reviewed,Thai,"Dinner, Lunch",$10-$20,Quite good thai food with a diverse set of seasonings compared to restaurants that just use crushed chili flakes,,,"A bit tight inside, but if you get a table, it's a good meal that's reasonably priced.",http://rosasthaicafe.com/victoria/,Good for eat-in (No excessive trash),8,"25 Gillingham St, Pimlico
London SW1V 1HN, UK",51.4937461,-0.1415598,,London,,
MA's Kitchen,Reviewed,Cafe,"Lunch, Breakfast",$07-$15,,,,,,"Use your own container!, Good for eat-in (No excessive trash)",8,"1 The Cut, South Bank, London SE1 8JZ",51.5035584,-0.1049485,,London,,
Pizza Pilgrims Shoreditch,Reviewed,Pizza,Dinner,$10-$20,"Pizza is italian stye with good flavor in an Americana themed restaurant. The calzone is a favorite, but it's hard to go wrong with any of them.","Decently stingy with the water, but otherwise good with quick service",,Worth the wait if you go at peak dinnertime.,http://www.pizzapilgrims.co.uk/,Good for eat-in (No excessive trash),8,"136 Shoreditch High St
London E1 6JE, UK",51.5264219,-0.0783114,,London,,
The Gallery Cafe,Reviewed,Cafe,"Coffee, Lunch",$07-$15,"Flavorful food with ample serving size. Mocha is worth having again- it's not syrupy, but instead is a good balance between chocolate and coffee. ",,,Open by 9:00 and closes at either 19:00 or 20:00.,http://www.stmargaretshouse.org.uk/gallerycafe/,Good for eat-in (No excessive trash),8,"St. Margarets House Settlement, 21 Old Ford Road, London E2 9PL",51.5298217,-0.0544026,,London,,
Dishoom,Reviewed,Indian,"Dinner, Lunch",$15-$30,The Pau Bhaji is a vegetable mash spiced perfectly and worth ordering. Leaving without the chai should not be allowed either. ,Service is good and they're attentive to the people waiting for tables too.,,"Long waits at all hours. Arrived at 2:30PM and was seated around 3:30PM on a cold, rainy Sunday. They're attentive to the line and move people inside to the bar as their time approaches. It honestly wasn't as bad as the ~50min wait should have been. Go for an early dinner or late lunch; not on-peak.",http://www.dishoom.com/,Good for eat-in (No excessive trash),8,"12 Upper St Martin's Ln, London WC2H 9FB",51.5124319,-0.1269096,,London,,
Kensington Creperie,Reviewed,Cafe,"Lunch, Breakfast, Dinner",$07-$15,"Waffle and crêpe cafe with a good variety of sweet and savoury as well as a good variety of drinks for a meal or snack. Mediterranean crêpe was a good crisp that perfectly complemented the vegetables inside. The sweet crêpes are softer, but no less delicious.",,,A nice place to relax for a little bit or to grab coffee with table service.,http://kensingtoncreperie.com/,Good for eat-in (No excessive trash),8,"2-6 Exhibition Rd, South Kensington, London SW7 2HF",51.4947913,-0.1732019,,London,,
Joey's Cafe,Reviewed,Cafe,"Breakfast, Lunch",$07-$15,Breakfast essentials and a few special breakfast and lunch options. ,,,Brunch restaurant quality in a cosy family restaurant.,www.joeyscafeok.com,Good for eat-in (No excessive trash),8,"12325 N May Ave, Oklahoma City, OK 73120",35.5962999,-97.5678055,,OKC,,
Sabrina's Cafe ,Reviewed,Cafe,"Breakfast, Lunch",$10-$20,"Simple, but relatively good menu. Stuffed french toast is excessive even when hungry. Their egg dishes are delicious.",,,Go on their yelp page and get on the waitlist before going. Weekend brunch line averages an hour/hour and a half.,http://www.sabrinascafe.com/,Good for eat-in (No excessive trash),8,"227 N 34th St, Philadelphia, PA 19104",39.9598792,-75.1906815,,Philadelphia,,
UT47,Reviewed,Coffee Shop,"Coffee, Breakfast",$07-$15,Milk tea & coffee shop,,,"Great place to study, but prices fit NYC. Saturday night had plenty of spots and was quiet in a good way for work; not chatting",www.ut47manhattan.com,,8,"358 W 47th St, New York, NY 10036",40.7613253,-73.9899701,,NYC,,
Fairmount Bagel,Reviewed,"Bakery, Bagels",,,,,,,,,8,"74 Avenue Fairmount O, Montréal, QC H2T 2M2, Canada",45.5228803,-73.595082,,Montreal,,
The Beehive Cafe,Reviewed,Cafe,"Breakfast, Coffee,  Lunch, Dinner",$07-$15,"The orange ricotta pancakes have a relatively strong orange flavor that sweetens them enough to make syrup optional. That said, hot syrup is served without request with their pancakes, which is a nice touch. Coffee had a distinctive flavor.",,,,https://www.thebeehivecafe.com/menu,,8,"10 Franklin Street, Bristol, RI, 02809, United States",41.673358,-71.2783495,,Newport,,
